,class,suff,to_cut
0,V,re,1
1,A,e,1
2,V,are,3
3,N,o,1
4,V,re,3
5,V,are,6
6,V,re,2
7,V,e,0
8,V,re,3
9,V,re,4
10,V,re,1
11,V,re,4
12,V,e,2
13,V,,0
14,V,e,3
15,N,o,1
16,V,,4
17,V,are,4
18,V,re,4
19,V,are,1
20,A,,0
21,A,o,1
22,V,re,5
23,V,re,2
24,V,are,3
25,V,re,1
26,V,re,3
27,V,are,1
28,V,are,7
29,V,are,6
30,V,are,1
31,V,re,1
32,V,e,0
33,V,re,3
34,V,e,3
35,V,are,2
36,V,re,4
37,V,,3
38,V,re,0
39,V,are,4
40,V,re,2
41,V,re,3
42,V,are,3
43,V,re,2
44,N,,0
45,V,e,0
46,V,e,2
47,V,re,4
48,V,iare,6
49,V,re,4
50,V,,4
51,A,o,0
52,V,re,3
53,V,e,3
54,V,re,3
55,V,,0
56,V,re,5
57,V,are,5
58,A,e,1
59,N,o,1
60,V,are,3
61,V,are,3
62,V,re,5
63,V,re,3
64,V,re,2
65,V,re,2
66,V,are,4
67,V,,1
68,A,,0
69,V,re,3
70,N,,0
71,A,ore,4
72,V,re,5
73,V,are,4
74,V,are,5
75,V,re,3
76,A,to,2
77,V,are,4
78,V,iare,4
79,V,are,5
80,V,iare,4
81,V,are,5
82,V,are,2
83,N,o,2
84,A,re,3
85,V,re,2
86,V,re,1
87,V,re,3
88,V,re,1
89,V,re,2
90,N,,0
91,V,re,3
92,V,re,5
93,V,e,2
94,V,are,5
95,V,re,5
96,V,re,2
97,V,re,3
98,N,,0
99,A,,0
100,A,,0
101,V,re,3
102,V,are,2
103,V,re,5
104,V,are,8
105,V,are,6
106,A,nte,3
107,V,re,2
108,V,re,2
109,V,re,2
110,N,a,1
111,V,re,3
112,V,re,2
113,V,,3
114,V,are,3
115,V,e,0
116,N,o,1
117,A,ore,4
118,V,are,6
119,V,e,3
120,V,re,5
121,V,,4
122,N,,0
123,V,,0
124,V,are,3
125,V,re,4
126,V,e,1
127,A,o,2
128,V,lere,4
129,V,,2
130,V,are,1
131,V,e,2
132,V,are,6
133,A,o,1
134,V,are,1
135,V,re,2
136,V,e,4
137,V,re,2
138,V,re,1
139,V,re,1
140,V,re,3
141,V,iare,5
142,V,are,6
143,V,re,2
144,A,o,0
145,V,are,6
146,V,are,3
147,V,are,3
148,V,re,5
149,V,e,3
150,V,re,2
151,V,are,3
152,V,re,4
153,N,o,1
154,V,are,2
155,N,o,0
156,V,re,2
157,V,are,1
158,V,are,4
159,V,are,6
160,A,o,1
161,V,are,6
162,V,are,5
163,V,,4
164,V,re,3
165,V,e,1
166,V,e,0
167,V,are,6
168,V,re,3
169,N,e,1
170,V,are,1
171,V,re,3
172,V,are,1
173,V,are,1
174,V,re,2
175,V,are,7
176,V,re,2
177,N,o,1
178,V,re,3
179,V,re,1
180,V,re,2
181,A,o,1
182,V,are,4
183,A,o,1
184,V,are,3
185,V,ere,1
186,V,are,3
187,V,are,6
188,V,ire,1
189,V,are,6
190,N,e,0
191,V,are,7
192,V,re,5
193,V,re,4
194,V,ere,4
195,V,re,2
196,V,re,3
197,V,e,2
198,V,re,4
199,V,re,2
200,V,re,1
201,V,re,2
202,V,re,2
203,A,,0
204,V,e,3
205,V,are,4
206,V,re,0
207,V,are,5
208,A,o,1
209,V,iare,4
210,V,are,4
211,V,re,3
212,V,are,6
213,V,re,3
214,V,re,3
215,V,are,6
216,V,re,2
217,V,re,3
218,V,are,6
219,N,o,1
220,A,e,1
221,V,re,4
222,V,re,2
223,V,re,3
224,A,o,0
225,V,e,2
226,A,re,3
227,V,are,2
228,V,re,4
229,V,are,4
230,V,e,3
231,V,re,3
232,V,are,4
233,V,iare,6
234,V,re,2
235,V,are,8
236,V,re,2
237,V,re,2
238,V,re,3
239,V,re,2
240,V,re,2
241,V,ere,4
242,V,re,3
243,V,e,3
244,V,are,1
245,V,re,4
246,V,re,3
247,V,re,4
248,V,re,2
249,V,re,1
250,V,e,1
251,V,re,2
252,V,are,6
253,V,e,0
254,N,,0
255,V,re,3
256,V,re,2
257,V,re,3
258,V,are,7
259,V,rre,5
260,V,re,4
261,V,re,2
262,A,o,1
263,V,ere,4
264,V,uocere,6
265,V,are,7
266,A,o,1
267,V,are,6
268,V,are,4
269,V,re,3
270,V,re,5
271,V,are,5
272,N,,0
273,V,are,5
274,V,re,4
275,V,are,2
276,V,re,3
277,A,re,3
278,V,re,5
279,V,are,6
280,V,are,3
281,V,re,2
282,N,,0
283,V,,5
284,V,,2
285,V,re,5
286,V,ere,1
287,N,a,1
288,V,are,4
289,V,ere,1
290,V,re,3
291,V,,0
292,N,,0
293,V,e,2
294,V,are,3
295,V,are,4
296,V,are,5
297,V,are,3
298,V,are,9
299,V,re,2
300,A,,0
301,V,,2
302,V,,1
303,V,re,1
304,A,re,3
305,V,are,6
306,N,,0
307,V,are,4
308,V,are,3
309,V,iare,3
310,V,are,6
311,V,re,4
312,V,re,2
313,V,are,4
314,V,are,1
315,V,ere,1
316,V,re,1
317,V,are,4
318,V,e,1
319,V,are,8
320,V,re,3
321,V,rre,4
322,V,e,2
323,V,re,2
324,V,e,2
325,V,are,4
326,V,are,1
327,V,re,2
328,V,re,2
329,V,are,6
330,V,are,1
331,V,are,4
332,V,are,3
333,A,o,1
334,V,are,4
335,N,a,0
336,V,re,3
337,V,re,3
338,V,are,2
339,A,re,3
340,V,re,2
341,V,re,2
342,V,are,2
343,V,re,4
344,V,re,2
345,V,,0
346,V,re,2
347,A,o,0
348,V,e,0
349,V,are,2
350,V,re,4
351,V,re,1
352,V,re,3
353,V,re,4
354,V,are,6
355,V,are,1
356,V,re,3
357,V,re,0
358,V,are,3
359,V,re,5
360,V,re,3
361,V,re,3
362,V,re,4
363,A,o,1
364,V,e,3
365,V,re,2
366,V,re,2
367,N,e,1
368,N,,0
369,A,re,3
370,N,,0
371,V,are,1
372,V,re,0
373,V,re,2
374,V,are,5
375,V,e,2
376,V,re,2
377,V,,0
378,V,are,4
379,V,re,1
380,V,are,1
381,V,re,3
382,V,re,3
383,V,are,7
384,V,are,5
385,V,,0
386,V,are,4
387,V,re,3
388,V,are,3
389,V,e,4
390,V,re,3
391,V,re,3
392,V,are,3
393,V,,3
394,V,rre,4
395,V,re,2
396,V,re,3
397,N,o,1
398,V,,3
399,V,e,1
400,V,are,5
401,V,re,4
402,N,o,1
403,V,are,6
404,A,re,3
405,V,re,3
406,V,are,3
407,N,,0
408,V,e,3
409,V,re,1
410,V,re,3
411,V,re,2
412,A,nte,3
413,N,,0
414,V,are,6
415,V,are,2
416,V,are,5
417,V,re,4
418,V,e,0
419,V,re,1
420,V,are,6
421,N,o,1
422,V,are,4
423,V,re,2
424,V,are,6
425,A,e,1
426,V,are,1
